3,1,Simpulan paragraph deduktif tersebut adalah……,Bahasa bukan hanya digambarkan sebagai kerangka bunyi,,Bahasa didefinisikan sebagai substansi,Bahasa merpakan media fisik,Merupakan formalisasi media
3,1,Dibawah ini manakah yang tidak termasuk fungsi dari bahasa Indonesia ?,Sebagai pemecah bangsa,Sebagai kerangka acuan,Sebagai cirri khas suatu bangsa,Sebagai alat pemersatu,
3,1,Dibawah ini yang merpakan pengertian dari informasi verbal adalah…….,Informasi yang meliputi informasi lisan dan tulis,Informasi yang didapat dari hasil observasi,"Informasi yang biasanya ditampilkan dalam bentuk bagan, tabel, diagram, denah, dan matriks.",Informasi yang berasal dari sebuah media berita,
3,1,"Perhatikanlah teks dibawah ini!Kesulitan menulis  disebabkan oleh berbagai hal, antara lain ketepatan dalam penyusunan kalimat,ketepatan penggunaan ejaan,pemilihan kata,dan pengungkapan ide yang sesuai . Selain itu, dibutuhkan latihan rutin dalam memilih struktur yang efektif. Menulis merupakan hal yang sulit bagi masyarakat pada umumnya.Kesimpulan paragraf induktif tersebut adalah……",Menulis merupakan hal yang sulit bagi masyarakat umum,Masyarakat pada umumnya malas menulis,Masyarakat pandai menulis,Memilih struktur yang efektif,
3,1,Dibawah ini manakah yang merpakan pengertian dari informasi induktif…..,Informasi yang dilakukan terhadap data (pernyataan) khusus diikuti umum,Informasi yang bersifat lisan dan tulisan, Informasi yang merupakan pernyataan umum,,Informasi yang didapat dari sebuah observasi
3,1,Dibawah ini yang tidak termauk ke dalam faktor kedudukan bahasa Indonesia adalah…,Sebagai arus urbanisasi,Jumlah penutur nya,Peranannya sebagai sarana ilmu,Susastra,Sebagai penentu suatu ras
3,1,Manakah di antara kalimat berikut yang termasuk pernyataan deduktif ?,"Karena bangun kesiangan, ia datang terlambat.","Disebabkan oleh penyakitnya,ia menghentikan aktifitas di luar rumah.","Jika hari hujan,ia tidak menghadiri rapat",Mengapa permasalahan itu diperumit jika semua sudah jelas?,Bacalah bacaan yang manfaatnya sesuai dengan selera.
3,1,"Bacalah paragraf berikut dengan cermat!Banyak cara yang dapat dilakukan untuk membentuk perilaku mencintai satwa. Contoh sederhananya adalah memelihara hewan peliharaan di rumah. Anak kecil sangat menyukai kucing. Anak bisa diajarkan untuk memberi makan, merawat, dan menyayangi hewan peliharaan. Hal ini secara tidak langsung akan menumbuhkan kepedulian terhadap satwa.Berdasarkan letak kalimat utama, paragraf tersebut termasuk dalam paragraf …",Deduktif,Induktif,Deduktif-Induktif,Naratif,Argumentatif
3,1,"Perhatikan paragraf dibawah ini!(1) Kisah pembuatan film biasanya melewati proses yang panjang dan rumit. (2) Ide membuat film dan cerita datang dari Castle Production yang bergerak di bidang film animasi sangat bermanfaat (3)Castle cukup berhasil bekerja sama dengan Kementrian Pendidikan dan Kebudayaan untuk menyaring siswa SMK yang memiliki kemampuan untuk membuat gambar. (4) Dari seleksigambar animasi kiriman siswa, Castle memilih lima puluh siswa SMK, tiga diantaranya perempuan, mengikuti pelatihan menggambar animasi lalu memproduksi film animasi. (5) Untuk keperluan itu, Castle mengerahkan animator professional seperti Boy Wahyudi dan Dony Moersito untuk mengajar mereka.Kalimat utama paragraf tersebut terletak pada kalimat nomor…",1,5,2,3,4
3,1,"Memasuki abad ke-21, sejumlah masalah kependudukan menghadang umat manusia secara “Tumpang tindih “. Sebagai contoh, masalah lanjut usia (lansia) muncul pada saat pertambahan penduduk masih besar. Kemiskinan menjadi kian kasat mata di tengah rumitnya masalah ketenagakerjaan. Masalah kesehatan pun turut mewarnai lanskap kehidupan pada awal milenium ketiga, terutama menyangkut kesehatan wanita dan anak-anak.Jenis paragraf di atas adalah ……..",Deduktif, Induktif,Deduktif-Induktif,Deskrips,Persuasif
3,1,"Bacalah kutipan paragraf di bawah ini!Beberapa hasil penelitian menunjukkan bahwa teh mempunyai banyak manfaat.Mengonsumsi teh secara teratur dapat mencegah kanker meskipun tidak terlalu besar. Teh juga menguatkan tulang dan mencegah pertumbuhan plak di permukaan gigi sehingga mencegah gigi berlubang. Tidak hanya memenuhi kebutuhan cairan tubuh seperti air putih, teh juga melawan penyakit jantung.Paragraf di atas termasuk paragraf…..",Deduktif,Persuasif, Induktif,Deduktif-Induktif,Deskripsi
3,1,"Bacalah kutipan paragraf di bawah ini!Ratusan batu nisan berderet di Punggungan Dughla, 4.830 meter dari permukaan laut itu memuat nama pendaki puncak gunung itu. Kabut tipis menyamarkan nama-nama yang dipahat di batu ini. Berada di jalur utama pendakian Gunung Everest, deretan nisan tanpa jasad itu mencekam setiap pendaki yang hendak menjajal puncak tertinggi bumi. Nama-nama itu adalah mereka yang hilang atau tewas di Everest sejak gunung ini pertama kali didaki. Scott Fischer salah satu nama legend yang dipahatkan di batu nisan itu tewas bersama tujuh pendaki lain dalam tragedi Mei 1996.Ide pokok paragraf diatas adalah…",Deretan batu nisan di Gunung Everest,Pendakian pertama Gunung Everest,Kabut tipis di Gunung Everest,Tewasnya tujuh pendaki,Batu nisan tanpa jasad
3,1,"Limbah yang dihasilkan dari suatu proses pengolahan makanan harus dipandang sebagai satu permasalahan serius dalam sanitasi. Penanganan limbah yang tidak memadai dapat menjadi sumber pencemaran yang membahayakan kesehatan. Limbah yang dihasilkan dari proses pengolahan makanan dapat berupa limbah padat maupun limbah cair. Limbah padat biasanya berupa bahan sisa yang tidak termanfaatkan dalam pengolahan. Sebagai contoh adalah sisa-sisa bahan nabati yang berupa kulit buah atau sayuran, bagian akar, batang, dan daun.Yang menjadi ide pokok paragraf tersebut adalah…", Limbah yang dihasilkan dari proses pengolahan makanan dipandang serius dalam hal sanitasi.,Limbah yang dihasilkan dapat berupa limbah padat maupun limbah cair.,Penanganan limbah dapat menjadi sumber pencemaran yang membahayakan kesehatan.,Pemanfaatan limbah padat dan limbah cair.,Penanganan limbah yang membahayakan kesehatan
3,1,Manakah yang bukan fungsi bahasa Indonesia?…..,Sebagai dominasi bangsa,Pembawa kewibawaan,Sebagai kerangka acuan,Ciri khas suatu bangsa,Alat pemersatu
3,1,(1) sebagai bahasa asing(2) sebagai bahasa pertama(3) Sebagai bahasa kedua(4) Sebagai bahasa sehari hari(5) Sebagai bahasa formal dan nonformal(6) Sebagai bahasa individualistisDari pernyataan diatas manakah yang termasuk kedudukan dari bahasa Indonesia….,"(1),(2),(3)","(1),(3),(5)"," (2),(3),(6)"," (3),(4),(5)","(2),(4),(6)"
3,1, Bahasa Indonesia memperkuat perasaan kepribadian nasional masyarakat pemakainya dan membedakan bangsa Indonesia dengan bangsa lain. Pernyataan diatas merupakan salah satu fungsi dari bahasa Indonesia yaitu sebagai…,Sebagai ciri khas suatu bangsa,Sebagai alat pemersatu,Sebagai bahasa formal,Sebagai kerangka acuan,Sebagai pembawa kewibawaan
3,1,Bahasa Indonesia mempersatukan masyarakat Indonesia dan meningkatkan proses identifikasi penutur di seluruh Indonesia dari Sabang sampai Merauke. Pernyataan di atas merupakan salah satu fungsi dari bahasa Indonesia yaitu sebagai…,Sebagai alat pemersatu,Sebagai ciri khas suatu bangsa,Sebagai pembawa kewibawaan,Sebagai kerangka acuan,Sebagai bahasa formal
3,1,Cara yang tepat untuk menyajikan informasi yang beupa data adalah….,Table atau grafik,Kata atau kalimat,Tulisan atau slogan,Lagu atau gerak,Gambar atau wacana
3,1,Manakah pernyataan di bawah ini yang tidak sesuai dengan pola penyampaian informasi….,Iklan efektif disampaikan dengan informasi verbal dan nonverbal.,Perkembangan nilai siswa digambarkan dengan grafik.,Kualitas /prestasi siswa dalam sebuah kejuruan disampaikan melalui informasi verbal,Jumlah produksi gabah di sebuah perkampungan dapat disampaikan dengan table.,Media bermanfaat untuk menyampaikan informasi sementara.
3,1,"Dibandingkan informasi tulis,informasi lisan mempunyai kelebihan berupa…",Situasi kebahasaan,Pembicara,Tema informasi,Pendengar,Sarana informasi
3,1,"Bagi masyarakat Indonesia,bahasa Indonesia resmi dipakai dalam deretan berikut,kecuali……",Bahasa pengajaran., Bahasa sidang,Bahasa iklan,Bahasa surat resmi,Bahasa undang- undang
3,1,"Yang merupakan bentuk informasi non verbal, kecuali….",Tulisan,Grafik,Gambar,Bagan,Tabel
3,1,"Secara garis besar,isi informasi meliputi,kecuali….", Makna,Petanyaan,Pernyataan,Perintah,Berita
3,1,Bagaimana cara kita menyimpulkan sebuah informasi ke dalam sebuah paragraph induktif ?…, Dengan mengedepankan ide ide penjelas diakhiri dengan simpulan / ide utama,Dengan cara membaca paragraph secara keseluruhan, Dengan mengubah paragraf dari bentuk  umum menjadi bentuk khusus.,Memahami isi dari paragraf tersebut,Dengan membaca teks secara teliti
3,1,Apakah kelebihan dari informasi verbal?…..,Menggunakan kalimat kalimat informatif yang dianggap lebih mudah dimenegerti banyak orang.,"Penyajiannya menggunakan bagan, diagram, denah, matriks",Penyajiannya menggunakan bahasa yang sulit dipahami.,Menggunakan kata hubung yang begitu rumit.,Bentuk penyajiannya yaitu umum khusus.
3,1,"(2)Untuk menentukan sebuah bacaan bermanfaat atau tidak,bergantung pada opini yang sifatnya subjectif.(1)Masing masing individu memiliki kemampuan dan selera berbeda beda mengenai hal hal yang dianggap menarik untuk dibaca.(4)Tetapi,secara umum dapat dikatakan manfaat membaca sangat besa.Manfaat tersebut telihat jelas dalam pembentukan kepribadian seseorang.(3)Selain itu,membaca juga dapat memperkaya informasi dalam pemikiran kita.Kesimpulan yang merupakan paragraf induktif ditunjukan dengan no…",2,1,4,3,5
3,1,Kesimpulan yang merupakan paragraf deduktif ditunjukan dengan no..,3,1,2,4,5
3,1,Jenis pengembangan teks eksposisi yang rinciannya tergolong dalam suatu objek ke dalam bagian-bagian itu disebut jenis pengembangan …., klasifikasi,definisi,verifikasi,aktualisasi,analisis
3,1,Sebuah karangan yang mengandung informasi atau pengetahuan disebut ….,karangan teks eksposisi,karangan teks ilmiah,karangan teks skripsi, karangan teks penelitian,karangan teks ilmiah
3,1,Sebuah kata ganti orang yang dapat digunakan terutama pada saat pernyataan pendapat pribadi diungkapkan disebut ….,pronomina,leksikal,konjungsi,klasikal,klasikal
3,1,"Dalam jenis karangan teks eksposisi, terdapat jenis yang memiliki pengertian sebagai pemapar atau penjelas dari defini suatu topik tertentu disebut ….",teks eksposisi definisi,teks eksposisi proses, teks eksposisi laporan,teks eksposisi ilustrasi,teks eksposisi ilustrasi
3,1,"Berikut ini adalah struktur lain yang ada dalam teks laporan observasi, kecuali …",definisi pembuka,definisi umum,definisi penutup,definisi bagian,definisi bagian
3,1,Tujuan dari teks laporan obeservasi adalah …,Menemukan teknik atau cara terbaru,sebagai bahan penelitian ilmiah, mencari sampel masalah," jawaban a, b dan c benar semua", mencari sampel masalah
3,1,"Jenis-jenis kalimat yang biasa digunakan dalam pembuatan teks laporan hasil observasi, kecuali….", kalimat tanya,kalimat simple,kalimat deskripsi,kalimat kompleks,kalimat deskripsi
3,1,"Bacalah teks berikut dengan cermat!Air yang berasal dari laut dan tumbuhan dapat diuapkan oleh sinar matahari. Setelah diuapkan, hasil uapan tersebut akan naik keatas sehingga terjadinya penggumpalan uap air yang biasa disebut awan. Kemudia awan akan menurunkan air hujan dengan bantuan angin. Air yang turun kemudian akan diresap oleh tanah, sehingga sebagian ada yang menjadi cadangan dalam tanah dan sebagian lagi menuju permukaan laut. Kondisi ini terjadi berulang-ulang terus dengan cara yang sama.Teks diatas adalah merupakan contoh dari teks ….",teks laporan eksposisi,teks laporan observasi, teks laporan ilmiah,teks deskripsi,teks deskripsi
3,1,Salah satu fungsi dari hasil teks laporan obeservasi adalah ….,merupakan bahan untuk pendokumentasian,merupakan pembukaan awal untuk mencari informasi,,bukan sumber informasi utama,merupakan hasil analisis dari teks laporan
3,1,Informasi yang dihadirkan dari hasil observasi dan analisis secara sistematis adalah,teks hasil laporan,teks observasi, teks kesimpulan,teks definisi,
3,1,"Dalam pembuatan teks laporan, kita harus memperhatikan salah satunya tentang aspek kebahasaan, seperti dalam penggunaan ….",kelas kata,kalimat,hubungan antarkalimat,hubungan antarparagraf,
3,1,Teks eksposisi dapat kita jumpai pada media-media salah satunya yaitu …., koran,televisi,radio,handphone,Radio
